Connection Order (chronological):
Step | Box1 | Box2 | Distance^2
----------------------------------------
   1 |  408 |  961 | 651251
   2 |  193 |  396 | 909050
   3 |  322 |  399 | 917810
   4 |   81 |  640 | 957077
   5 |  341 |  828 | 1642170
   6 |  276 |  920 | 2077297
   7 |  792 |  861 | 2280233
   8 |  343 |  624 | 2384864
   9 |  467 |  899 | 2407214
  10 |   35 |  814 | 2758099
  11 |  218 |  412 | 3061579
  12 |  438 |  891 | 3104193
  13 |    0 |  509 | 3653537
  14 |  318 |  353 | 3705261
  15 |   90 |  267 | 3838500
  16 |  420 |  795 | 3867330
  17 |  153 |  811 | 4019595
  18 |   30 |  471 | 4152024
  19 |  803 |  807 | 4262726
  20 |   23 |  366 | 4323225
  21 |  182 |  592 | 4325190
  22 |  183 |  865 | 4536366
  23 |  388 |  651 | 4606619
  24 |  177 |  326 | 4623454
  25 |  195 |  652 | 5176890
  26 |  168 |  644 | 5221451
  27 |  357 |  730 | 5607969
  28 |  462 |  538 | 5653954
  29 |  854 |  929 | 5902373
  30 |   16 |  393 | 6065174
  31 |  447 |  596 | 6080157
  32 |  207 |  465 | 6705251
  33 |  215 |  431 | 6799189
  34 |   42 |  264 | 6804626
  35 |  554 |  982 | 7055877
  36 |  490 |  967 | 7116126
  37 |  283 |  927 | 7337165
  38 |   46 |  282 | 7419237
  39 |   89 |  591 | 7442190
  40 |  367 |  796 | 7635141
  41 |    4 |   80 | 7653830
  42 |  531 |  630 | 7666153
  43 |  617 |  951 | 7701834
  44 |  294 |  805 | 7822058
  45 |   71 |  487 | 7891821
  46 |  362 |  506 | 7910881
  47 |  172 |  314 | 8318118
  48 |  563 |  903 | 8536373
  49 |  527 |  994 | 8841618
  50 |  127 |  661 | 8870286
  51 |   35 |   79 | 9004749
  52 |  159 |  822 | 9139466
  53 |  386 |  874 | 9146225
  54 |   87 |  755 | 9229795
  55 |  399 |  422 | 9373355
  56 |  145 |  974 | 9748344
  57 |  617 |  678 | 9750809
  58 |  742 |  756 | 9808053
  59 |  193 |  958 | 9867437
  60 |  319 |  665 | 10232225
  61 |   40 |  477 | 10331480
  62 |   68 |  445 | 10389544
  63 |  373 |  656 | 10509268
  64 |   54 |  747 | 10656740
  65 |  454 |  698 | 10933469
  66 |  648 |  900 | 11222414
  67 |  359 |  405 | 11513846
  68 |  188 |  710 | 11662994
  69 |  944 |  947 | 11729361
  70 |  585 |  838 | 11952569
  71 |  201 |  935 | 11989653
  72 |  278 |  908 | 11993921
  73 |  302 |  975 | 12194069
  74 |  225 |  233 | 12210809
  75 |  198 |  573 | 12213645
  76 |  104 |  886 | 12233342
  77 |  438 |  897 | 12424865
  78 |  372 |  978 | 12445369
  79 |  690 |  824 | 12532193
  80 |  366 |  786 | 12627766
  81 |  542 |  794 | 12675793
  82 |  105 |  769 | 12684110
  83 |  831 |  845 | 12816075
  84 |  166 |  961 | 12880440
  85 |   72 |  226 | 13049618
  86 |   94 |  586 | 13204372
  87 |  452 |  837 | 13319130
  88 |  385 |  710 | 13374836
  89 |  158 |  372 | 13407134
  90 |  241 |  767 | 13506734
  91 |  112 |  140 | 13655165
  92 |  163 |  550 | 13684728
  93 |  133 |  424 | 13732782
  94 |   19 |  635 | 13850729
  95 |  194 |  554 | 13934189
  96 |  506 |  800 | 13985081
  97 |   10 |  571 | 13998514
  98 |  200 |  864 | 14052021
  99 |  480 |  898 | 14207507
 100 |   21 |  881 | 14213342
 101 |  413 |  771 | 14319853
 102 |  249 |  783 | 14559466
 103 |  257 |  850 | 14677577
 104 |    8 |  754 | 14734685
 105 |  161 |  544 | 14996593
 106 |  144 |  981 | 15070345
 107 |  647 |  976 | 15203393
 108 |  803 |  904 | 15249064
 109 |  105 |  729 | 15281313
 110 |   73 |  626 | 15642150
 111 |  717 |  907 | 15680430
 112 |   16 |  778 | 15712625
 113 |   72 |  627 | 15714968
 114 |  209 |  674 | 15726445
 115 |  392 |  736 | 15830931
 116 |  232 |  602 | 15833774
 117 |   20 |  858 | 15885893
 118 |  683 |  726 | 15889282
 119 |   22 |  294 | 15931275
 120 |  394 |  628 | 16047594
 121 |  731 |  775 | 16070069
 122 |  570 |  924 | 16083339
 123 |  551 |  921 | 16176133
 124 |  326 |  368 | 16317174
 125 |  340 |  831 | 16324210
 126 |   55 |  705 | 16414004
 127 |  547 |  782 | 16533549
 128 |  415 |  445 | 16644758
 129 |  385 |  902 | 16662419
 130 |  483 |  916 | 16666677
 131 |   77 |  727 | 16672246
 132 |   27 |  990 | 16753217
 133 |  562 |  662 | 16780274
 134 |   34 |  256 | 16803454
 135 |  307 |  505 | 17116658
 136 |  211 |  659 | 17263946
 137 |  843 |  877 | 17276598
 138 |  278 |  325 | 17298782
 139 |  238 |  596 | 17323817
 140 |   98 |  588 | 17330574
 141 |  521 |  962 | 17346660
 142 |  173 |  696 | 17355285
 143 |  700 |  809 | 17358291
 144 |  267 |  356 | 17463229
 145 |  267 |  316 | 17509509
 146 |  681 |  789 | 17579861
 147 |  341 |  402 | 17662934
 148 |  560 |  763 | 17667346
 149 |  686 |  964 | 17746182
 150 |   88 |  688 | 17819198
 151 |   18 |  575 | 17877074
 152 |  541 |  581 | 18117662
 153 |  577 |  776 | 18246510
 154 |  312 |  321 | 18258181
 155 |  169 |  343 | 18321389
 156 |  427 |  550 | 18343406
 157 |  192 |  648 | 18405110
 158 |  243 |  837 | 18429113
 159 |  653 |  996 | 18454403
 160 |  645 |  762 | 18556617
 161 |  232 |  955 | 18599571
 162 |  298 |  526 | 18601611
 163 |  374 |  910 | 18611333
 164 |  393 |  819 | 18621198
 165 |  149 |  444 | 18762158
 166 |  607 |  684 | 18785261
 167 |  509 |  614 | 18814238
 168 |  132 |  805 | 18819209
 169 |  192 |  299 | 18850690
 170 |  363 |  692 | 18913761
 171 |  176 |  793 | 19082904
 172 |  901 |  911 | 19084705
 173 |  372 |  457 | 19088662
 174 |   65 |  651 | 19125769
 175 |    9 |  601 | 19255902
 176 |  134 |  759 | 19707884
 177 |  225 |  855 | 19737865
 178 |  313 |  939 | 19754958
 179 |  100 |  860 | 19758234
 180 |  336 |  819 | 19769651
 181 |    7 |  556 | 20006169
 182 |  525 |  699 | 20030201
 183 |  192 |  715 | 20119385
 184 |  547 |  559 | 20124013
 185 |  418 |  772 | 20130062
 186 |   91 |  677 | 20331213
 187 |  159 |  818 | 20377166
 188 |  513 |  919 | 20436641
 189 |  168 |  781 | 20478936
 190 |  403 |  486 | 20504116
 191 |  356 |  658 | 20658369
 192 |   57 |  841 | 20665333
 193 |   64 |  434 | 20755517
 194 |  396 |  945 | 20831217
 195 |  595 |  676 | 21089602
 196 |  411 |  612 | 21103662
 197 |  717 |  896 | 21487754
 198 |  244 |  815 | 21553754
 199 |  370 |  806 | 21594854
 200 |  124 |  669 | 21598890
 201 |  482 |  572 | 21778269
 202 |  382 |  595 | 21826685
 203 |  639 |  699 | 21851125
 204 |   60 |  993 | 21938899
 205 |  518 |  578 | 22102322
 206 |  368 |  752 | 22152910
 207 |  270 |  809 | 22191030
 208 |   67 |  317 | 22216449
 209 |  189 |  830 | 22241442
 210 |  801 |  866 | 22286261
 211 |  904 |  909 | 22314242
 212 |  676 |  714 | 22451049
 213 |  476 |  566 | 22532522
 214 |   89 |  835 | 22584854
 215 |  682 |  916 | 22628853
 216 |  315 |  750 | 22637181
 217 |   77 |  461 | 22702658
 218 |  449 |  595 | 22769816
 219 |  239 |  926 | 23037481
 220 |  559 |  753 | 23104897
 221 |   75 |  208 | 23230309
 222 |   52 |  271 | 23417546
 223 |  266 |  777 | 23429550
 224 |  584 |  834 | 23605773
 225 |    6 |  282 | 23628742
 226 |  904 |  988 | 23638065
 227 |  410 |  479 | 23850301
 228 |  403 |  519 | 24019579
 229 |  328 |  543 | 24092876
 230 |  183 |  822 | 24112073
 231 |  306 |  674 | 24141389
 232 |  326 |  451 | 24174185
 233 |  446 |  770 | 24218235
 234 |  354 |  576 | 24218901
 235 |  268 |  456 | 24244109
 236 |   88 |  869 | 24454173
 237 |  925 |  933 | 24536069
 238 |  190 |  446 | 24658542
 239 |  419 |  914 | 24725264
 240 |  170 |  771 | 24779898
 241 |  342 |  886 | 24847796
 242 |   57 |  643 | 24887861
 243 |  260 |  895 | 24896065
 244 |  518 |  692 | 24898026
 245 |  304 |  349 | 24900326
 246 |   76 |  944 | 24991632
 247 |  614 |  784 | 25007870
 248 |  855 |  946 | 25086814
 249 |   32 |  181 | 25099801
 250 |  421 |  930 | 25100281
 251 |  604 |  868 | 25123685
 252 |  503 |  840 | 25131051
 253 |  297 |  536 | 25179473
 254 |  613 |  673 | 25181595
 255 |  418 |  743 | 25321595
 256 |  176 |  270 | 25338709
 257 |  132 |  242 | 25339121
 258 |  342 |  678 | 25375668
 259 |   85 |  894 | 25465034
 260 |   48 |  475 | 25515254
 261 |  365 |  812 | 25535485
 262 |  371 |  919 | 25558165
 263 |  468 |  714 | 25584258
 264 |  273 |  340 | 25705569
 265 |  654 |  977 | 25746469
 266 |  535 |  894 | 25904996
 267 |  211 |  813 | 26002388
 268 |  702 |  972 | 26084669
 269 |  170 |  916 | 26140984
 270 |  303 |  954 | 26189496
 271 |  107 |  747 | 26222298
 272 |  563 |  672 | 26361917
 273 |  236 |  444 | 26381537
 274 |  289 |  291 | 26443738
 275 |   75 |  587 | 26503650
 276 |  377 |  605 | 26527674
 277 |  234 |  480 | 26591694
 278 |   24 |  906 | 26611245
 279 |  585 |  792 | 26666569
 280 |  697 |  843 | 26755082
 281 |   82 |  345 | 26877603
 282 |  247 |  585 | 26885693
 283 |  699 |  789 | 27198806
 284 |  920 |  999 | 27215139
 285 |  731 |  957 | 27261545
 286 |  898 |  972 | 27503217
 287 |   86 |  504 | 27527346
 288 |  221 |  672 | 27619953
 289 |  336 |  823 | 27801366
 290 |   10 |  594 | 27807729
 291 |  233 |  581 | 27822786
 292 |  164 |  740 | 28215554
 293 |  272 |  933 | 28332249
 294 |  129 |  409 | 28398706
 295 |  401 |  598 | 28492517
 296 |  354 |  997 | 28552802
 297 |    6 |   97 | 28643905
 298 |   62 |   80 | 28643986
 299 |  521 |  608 | 28663601
 300 |  322 |  932 | 28782581
 301 |  157 |  832 | 28820290
 302 |  197 |  541 | 29049356
 303 |   34 |  851 | 29106333
 304 |  318 |  329 | 29127953
 305 |  217 |  386 | 29136074
 306 |   37 |  364 | 29170322
 307 |  453 |  902 | 29216187
 308 |  174 |  337 | 29278285
 309 |  201 |  487 | 29284360
 310 |  392 |  435 | 29322130
 311 |  684 |  926 | 29389091
 312 |  515 |  940 | 29482409
 313 |   15 |  645 | 29488179
 314 |  207 |  758 | 29620289
 315 |   36 |  861 | 29624101
 316 |  128 |  619 | 29757766
 317 |  619 |  989 | 29858226
 318 |  701 |  858 | 29941934
 319 |  611 |  650 | 29958853
 320 |  145 |  369 | 30067936
 321 |  444 |  732 | 30094326
 322 |  563 |  621 | 30417587
 323 |  676 |  952 | 30454414
 324 |  657 |  879 | 30498888
 325 |  257 |  551 | 30514509
 326 |  370 |  926 | 30559106
 327 |  263 |  439 | 30682053
 328 |  373 |  460 | 30690907
 329 |   74 |  873 | 30716024
 330 |  625 |  707 | 30839030
 331 |  804 |  952 | 30908099
 332 |  208 |  767 | 30949853
 333 |  329 |  809 | 31090996
 334 |  478 |  623 | 31099490
 335 |    2 |  264 | 31130811
 336 |  247 |  741 | 31135930
 337 |  557 |  915 | 31278266
 338 |  709 |  878 | 31445100
 339 |  333 |  593 | 31590344
 340 |  156 |  528 | 31623819
 341 |  347 |  992 | 31721274
 342 |  387 |  530 | 31886241
 343 |  171 |  494 | 31914974
 344 |  150 |  442 | 32069373
 345 |  532 |  712 | 32206586
 346 |  295 |  583 | 32537489
 347 |   97 |   98 | 32674562
 348 |    9 |  979 | 32854981
 349 |  671 |  906 | 32886086
 350 |  618 |  935 | 32892429
 351 |  542 |  576 | 32943060
 352 |  196 |  685 | 32948441
 353 |  328 |  866 | 32995606
 354 |   49 |  511 | 33143204
 355 |  687 |  779 | 33334674
 356 |  227 |  374 | 33442722
 357 |   98 |  627 | 33488662
 358 |  423 |  633 | 33566985
 359 |  377 |  589 | 33606645
 360 |  173 |  540 | 33665749
 361 |  766 |  841 | 33708574
 362 |  206 |  252 | 33886945
 363 |  762 |  942 | 33906654
 364 |   85 |  846 | 34044147
 365 |  609 |  854 | 34133931
 366 |  384 |  778 | 34245161
 367 |  180 |  637 | 34330116
 368 |  469 |  564 | 34420217
 369 |  216 |  495 | 34516846
 370 |   53 |  230 | 34646366
 371 |   51 |  483 | 34659349
 372 |    5 |  528 | 34717698
 373 |   80 |  296 | 34834419
 374 |  198 |  508 | 35118938
 375 |  265 |  424 | 35184275
 376 |  191 |  463 | 35359130
 377 |  219 |  312 | 35488582
 378 |  143 |  614 | 35502429
 379 |  704 |  788 | 35526853
 380 |  358 |  873 | 35626120
 381 |  491 |  575 | 35681736
 382 |   84 |  830 | 35761834
 383 |  248 |  882 | 35815321
 384 |  273 |  656 | 35827298
 385 |  365 |  440 | 35829562
 386 |  634 |  726 | 35908318
 387 |  212 |  780 | 36030765
 388 |  277 |  442 | 36047737
 389 |   44 |  893 | 36350193
 390 |   53 |  429 | 36544529
 391 |  125 |  995 | 36593565
 392 |  353 |  970 | 36694817
